STT,Sản phẩm,Kết quả,Thời gian
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:12:46
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:13:12
3,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:13:40
4,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:13:59
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:29:13
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:29:41
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:35:28
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:35:46
3,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:36:08
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:38:32
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:50:03
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:50:20
3,Viên rời,[NG] NG (1 LỖI),2026-05-02 14:50:47
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:06:36
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:07:04
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:07:59
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:11:26
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:11:51
1,Viên rời,[NG] NG (2 LỖI),2026-05-02 15:13:57
2,Viên rời,[OK] SẢN PHẨM OK,2026-05-02 15:14:20
3,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:14:55
4,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:15:10
5,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:15:42
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:23:35
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:23:55
3,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:24:27
4,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:24:45
5,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:25:25
6,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:26:50
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:31:17
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:32:10
3,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:33:44
4,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:34:34
5,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:39:37
6,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:43:06
7,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:43:32
8,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:46:13
9,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:49:17
10,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:52:17
11,Viên rời,[OK] SẢN PHẨM OK,2026-05-02 15:52:45
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:55:35
2,Viên rời,[OK] CHỜ VẬT THỂ,2026-05-02 15:57:08
3,Viên rời,[OK] CHỜ VẬT THỂ,2026-05-02 15:57:29
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:58:32
2,Viên rời,[NG] NG (1 LỖI),2026-05-02 15:59:16
1,Viên rời,[NG] NG (1 LỖI),2026-05-02 16:03:53
